App Name,Ad Name,Start Date,End Date,Time Zone,Currency,Keyword,Match Type,Status,Bid,Impressions,Clicks,Click Through Rate,Installs,Install Rate,Cost Per Click,Cost Per Install,Spend,Average Position,Visibility,Customers,Revenue,Return On Spend,Cost Per Customer,Conversion Rate
In Cart Upsell & Cross Sell,Exact Match Starting 021420,2021-05-04,2021-06-02,UTC,USD,upsell,exact,active,15.0,2493,247,0.09907741676694745,67,0.27125506072874495,9.894736842105264,36.47761194029851,2444.0,2.1199358202968313,0.9299891735835438,1,19.99,0.008179214402618658,2444.0,0.014925373134328358
In Cart Upsell & Cross Sell,Exact Match Starting 021420,2021-05-04,2021-06-02,UTC,USD,in cart upsell,exact,active,5.0,248,66,0.2661290322580645,38,0.5757575757575758,4.166666666666667,7.2368421052631575,275.0,1.3951612903225807,1.0,1,19.99,0.07269090909090908,275.0,0.02631578947368421
In Cart Upsell & Cross Sell,Exact Match Starting 021420,2021-05-04,2021-06-02,UTC,USD,cross sell,exact,active,6.5,124,12,0.0967741935483871,2,0.16666666666666666,5.833333333333333,35.0,70.0,2.838709677419355,0.38127090301003347,,,,,
In Cart Upsell & Cross Sell,Exact Match Starting 021420,2021-05-04,2021-06-02,UTC,USD,cart upsell,exact,active,3.5,97,13,0.13402061855670103,2,0.15384615384615385,3.1923076923076925,20.75,41.5,1.824742268041237,0.8559322033898306,,,,,
In Cart Upsell & Cross Sell,Exact Match Starting 021420,2021-05-04,2021-06-02,UTC,USD,one click,exact,active,1.0,90,0,0.0,0,0.0,0.0,0.0,0.0,2.6444444444444444,0.92,,,,,
In Cart Upsell & Cross Sell,Exact Match Starting 021420,2021-05-04,2021-06-02,UTC,USD,upsale,exact,active,6.0,81,15,0.18518518518518517,4,0.26666666666666666,5.933333333333334,22.25,89.0,1.271604938271605,1.0,,,,,
In Cart Upsell & Cross Sell,Exact Match Starting 021420,2021-05-04,2021-06-02,UTC,USD,upselling,exact,active,6.5,15,1,0.06666666666666667,0,0.0,6.5,0.0,6.5,2.7333333333333334,0.5,,,,,
In Cart Upsell & Cross Sell,Exact Match Starting 021420,2021-05-04,2021-06-02,UTC,USD,no popup upsell,broad,active,5.0,10,0,0.0,0,0.0,0.0,0.0,0.0,7.9,0.015151515151515152,,,,,
In Cart Upsell & Cross Sell,Exact Match Starting 021420,2021-05-04,2021-06-02,UTC,USD,upsell app,exact,active,5.0,7,1,0.14285714285714285,0,0.0,5.0,0.0,5.0,1.4285714285714286,1.0,,,,,
In Cart Upsell & Cross Sell,Exact Match Starting 021420,2021-05-04,2021-06-02,UTC,USD,add to cart upsell,exact,active,4.0,5,1,0.2,0,0.0,4.0,0.0,4.0,1.0,1.0,,,,,
In Cart Upsell & Cross Sell,Exact Match Starting 021420,2021-05-04,2021-06-02,UTC,USD,in cart upsell & cross sell,exact,active,5.0,4,3,0.75,1,0.3333333333333333,5.0,15.0,15.0,1.0,1.0,,,,,
In Cart Upsell & Cross Sell,Exact Match Starting 021420,2021-05-04,2021-06-02,UTC,USD,increase aov,broad,active,10.0,3,0,0.0,0,0.0,0.0,0.0,0.0,2.3333333333333335,1.0,,,,,
In Cart Upsell & Cross Sell,Exact Match Starting 021420,2021-05-04,2021-06-02,UTC,USD,cross sell app,exact,active,9.0,2,1,0.5,0,0.0,9.0,0.0,9.0,1.0,1.0,,,,,
