Date,Billing Period Start,Billing Period End,Payment Duration,Shop Name,Shop Domain,Shop Email,Shop Country,Details,Charge Type,Partner Sale,Shopify Fee,Partner Share,Charge ID
2021-06-13 09:07:28 UTC,,,,DoubleTapDeliveries,doubletapdeliveries.myshopify.com,doubletapdeliveries@gmail.com,GB,Basic Shopify plan,App sale – usage,19.99,4.0,15.99,gid://shopify/AppUsageRecord/79218665
2021-06-13 09:07:04 UTC,,,,HCGLOBAL,hcglobal7.myshopify.com,hcglobal7@gmail.com,VN,Basic Shopify plan,App sale – usage,19.99,4.0,15.99,gid://shopify/AppUsageRecord/78569011
2021-06-13 09:02:09 UTC,,,,Azulle,azulletech.myshopify.com,andrea@azulletech.com,US,Shopify plan,App sale – usage,29.99,6.0,23.99,gid://shopify/AppUsageRecord/82465649
2021-06-13 09:02:08 UTC,,,,UV Buddies,jb-products-plus.myshopify.com,jordanafoster6@gmail.com,US,Basic Shopify plan,App sale – usage,19.99,4.0,15.99,gid://shopify/AppUsageRecord/79903057
2021-06-13 09:02:07 UTC,,,,Sewlip,sewlip.myshopify.com,sewlipfashion@gmail.com,US,Basic Shopify plan,App sale – usage,19.99,4.0,15.99,gid://shopify/AppUsageRecord/81331041
2021-06-13 09:02:02 UTC,,,,versoon.com,versoon-com.myshopify.com,ibryanbarragan@gmail.com,US,Basic Shopify plan,App sale – usage,19.99,4.0,15.99,gid://shopify/AppUsageRecord/82148431
2021-06-13 09:02:01 UTC,,,,CLIXEZEE,clixezee.myshopify.com,clixezee@gmail.com,US,Shopify plan,App sale – usage,29.99,6.0,23.99,gid://shopify/AppUsageRecord/81175063
2021-06-13 09:02:00 UTC,,,,Laduree-ie,laduree-ie.myshopify.com,ro@radecom.ie,IE,Basic Shopify plan,App sale – usage,19.99,4.0,15.99,gid://shopify/AppUsageRecord/80511205
2021-06-13 09:01:49 UTC,,,,TSinek Store,tsinekstore.myshopify.com,support@tsinekstore.com,DE,Basic Shopify plan,App sale – usage,19.99,4.0,15.99,gid://shopify/AppUsageRecord/79218523
2021-06-13 09:01:46 UTC,,,,Dainty Abode,dainty-abode.myshopify.com,daintyabode@gmail.com,US,Shopify plan,App sale – usage,29.99,6.0,23.99,gid://shopify/AppUsageRecord/81992839
2021-06-13 09:01:45 UTC,,,,Henry Páll,henry-pall.myshopify.com,store@henrypall.com,RO,Basic Shopify plan,App sale – usage,19.99,4.0,15.99,gid://shopify/AppUsageRecord/79741185
2021-06-13 09:01:38 UTC,,,,Trendy Tailz,6047-dog-accessories.myshopify.com,trendytailzbiz@gmail.com,US,Basic Shopify plan,App sale – usage,19.99,4.0,15.99,gid://shopify/AppUsageRecord/78737847
2021-06-13 09:01:37 UTC,,,,menforsuit,menforsuit.myshopify.com,menforsuit@gmail.com,RO,Shopify plan,App sale – usage,29.99,6.0,23.99,gid://shopify/AppUsageRecord/82148401
2021-06-13 09:01:35 UTC,,,,Booty Builder Shop,booty-builder-shop.myshopify.com,shop@bootybuilder.com,US,Advanced Shopify plan,App sale – usage,59.99,12.0,47.99,gid://shopify/AppUsageRecord/79218633
2021-06-13 09:01:33 UTC,,,,The Runner Bean Coffee Co,the-runner-bean-coffee-co.myshopify.com,hello@runnerbeancoffee.co.uk,GB,Basic Shopify plan,App sale – usage,19.99,4.0,15.99,gid://shopify/AppUsageRecord/80349443
2021-06-13 09:01:33 UTC,,,,THAT CANDID SHOT,thatcandidshot.myshopify.com,hello@thatcandidshot.com,GB,Basic Shopify plan,App sale – usage,19.99,4.0,15.99,gid://shopify/AppUsageRecord/80511285
2021-06-13 09:01:30 UTC,,,,WunderRein,wunderrein.myshopify.com,thomas@doppel-n.at,AT,Advanced Shopify plan,App sale – usage,59.99,12.0,47.99,gid://shopify/AppUsageRecord/80349429
2021-06-13 09:01:24 UTC,2021-06-13 00:00:00 UTC,2021-07-13 00:00:00 UTC,,Bagwell Goods,lussoyo.myshopify.com,lfdomin07@gmail.com,US,In Cart Upsell - Beginner plan,App sale – 30-day subscription,19.0,3.8,15.2,gid://shopify/AppSubscription/13142851720
2021-06-13 09:01:23 UTC,,,,ApolloHOU,apollo-sports-merch.myshopify.com,Apollosportsmedia@gmail.com,US,Shopify plan,App sale – usage,29.99,6.0,23.99,gid://shopify/AppUsageRecord/82312257
2021-06-13 09:01:23 UTC,,,,BackHero™,backhero-co.myshopify.com,backhero20@gmail.com,US,Shopify plan,App sale – usage,29.99,6.0,23.99,gid://shopify/AppUsageRecord/79072239
2021-06-13 09:01:09 UTC,2021-05-18 00:00:00 UTC,2021-06-17 00:00:00 UTC,,Trekologie,outdoortrotters.myshopify.com,lfdomin07@gmail.com,US,In Cart Upsell - Beginner,App sale – 30-day subscription,19.99,4.0,15.99,gid://shopify/AppSubscription/12574162997
2021-06-13 09:01:08 UTC,,,,SKIN HEAL,skin-heal-co.myshopify.com,hello@skinhealco.com,GB,Shopify plan,App sale – usage,29.99,6.0,23.99,gid://shopify/AppUsageRecord/80349521
2021-06-13 09:01:04 UTC,2021-05-24 00:00:00 UTC,2021-06-23 00:00:00 UTC,,ForbiddenWears,forbiddenwears.myshopify.com,forbiddenwears@gmail.com,US,In Cart Upsell - Beginner plan,App sale – 30-day subscription,14.0,2.8,11.2,gid://shopify/AppSubscription/12077203516
2021-06-13 09:01:01 UTC,2021-05-22 00:00:00 UTC,2021-06-21 00:00:00 UTC,,Kickitz,kickitz.myshopify.com,alissaparker@hotmail.com,US,In Cart Upsell - Beginner plan,App sale – 30-day subscription,14.0,2.8,11.2,gid://shopify/AppSubscription/10335748130
2021-06-13 09:00:58 UTC,,,,Coast Clothing Co,coast-clothing-co.myshopify.com,carlos@torocorporation.com,AU,Shopify plan,App sale – usage,29.99,6.0,23.99,gid://shopify/AppUsageRecord/78064645
2021-06-13 09:00:56 UTC,2021-05-21 00:00:00 UTC,2021-06-20 00:00:00 UTC,,Brick Forge,brick-forge.myshopify.com,brickforge@gmail.com,US,In Cart Upsell - Beginner plan,App sale – 30-day subscription,14.0,2.8,11.2,gid://shopify/AppSubscription/10630070344
2021-06-13 09:00:56 UTC,2021-06-11 00:00:00 UTC,2021-07-11 00:00:00 UTC,,Drink Buddy Breathalyser,drinkbuddybreathalyser.myshopify.com,buddy@drinkbuddybreathalyser.com.au,AU,In Cart Upsell - Beginner plan,App sale – 30-day subscription,14.0,2.8,11.2,gid://shopify/AppSubscription/10832380001
2021-06-13 09:00:55 UTC,2021-05-23 00:00:00 UTC,2021-06-22 00:00:00 UTC,,Sulfora®,sulfora.myshopify.com,helene@sulfora.com,AU,In Cart Upsell - Beginner plan,App sale – 30-day subscription,19.0,3.8,15.2,gid://shopify/AppSubscription/12160565311
2021-06-13 09:00:55 UTC,,,,reef rain aria,reef-rain-aria.myshopify.com,brandon@reefrainaria.com,US,Shopify plan,App sale – usage,29.99,6.0,23.99,gid://shopify/AppUsageRecord/79583123
2021-06-13 09:00:54 UTC,2021-05-28 00:00:00 UTC,2021-06-27 00:00:00 UTC,,Freya,trendca.myshopify.com,globoltrendz@gmail.com,US,In Cart Upsell - Beginner plan,App sale – 30-day subscription,14.0,2.8,11.2,gid://shopify/AppSubscription/5022253171
2021-06-13 09:00:54 UTC,,,,SolisNZ,solisnz.myshopify.com,jono@solis.nz,NZ,Basic Shopify plan,App sale – usage,19.99,4.0,15.99,gid://shopify/AppUsageRecord/78908217
2021-06-13 09:00:54 UTC,2021-06-05 00:00:00 UTC,2021-07-05 00:00:00 UTC,,Affordable Living USA,eyelashextensionlab.myshopify.com,eyelash@globoltrendz.com,US,In Cart Upsell - Beginner plan,App sale – 30-day subscription,14.0,2.8,11.2,gid://shopify/AppSubscription/5236097120
2021-06-13 09:00:54 UTC,,,,BlackGoldSupplyCo,blackgoldsupplyco.myshopify.com,support@blackgoldsupplyco.com,US,Shopify plan,App sale – usage,29.99,6.0,23.99,gid://shopify/AppUsageRecord/78738291
